Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Carey	Mike		X	OH15	2021	6/15/2021	30014953
	Carra	Stephen		C	MI06	2021	6/10/2021	10040876
Hon.	Carter	Earl Leroy		P	GA01	2021	5/10/2021	20018712
Hon.	Carter	Earl Leroy		P	GA01	2021	5/12/2021	20018726
Hon.	Case	Ed		P	HI01	2021	5/9/2021	20018706
Hon.	Castor	Kathy		P	FL14	2021	1/4/2021	20017966
Hon.	Castor	Kathy		P	FL14	2021	2/18/2021	20018237
Hon.	Castor	Kathy		P	FL14	2021	4/14/2021	20018576
Hon.	Castor	Kathy		P	FL14	2021	6/14/2021	20018921
	Castorani	John		D	VA07	2021	4/28/2021	40003167
Mr.	Chaires	Justin Raphael		C	NY20	2021	5/16/2021	10040487
	Chapman	John		C	SC06	2021	5/24/2021	10040633
	Chen	Jay		X	CA39	2021	6/1/2021	30014918
	Chen	Jay		X	CA39	2021	6/15/2021	30014956
	Childress	Earl		X	MO01	2021	6/2/2021	8218064
Mrs.	Christophe	Sandra		C	LA05	2021	3/16/2021	10039638
	Chuba	Jon		C	FL05	2021	6/5/2021	10040796
Hon.	Cisneros	Gilbert		P	CA39	2021	1/11/2021	20017992
Hon.	Cisneros	Gilbert		T	CA39	2021	4/27/2021	10039421
Hon.	Cisneros	Gilbert		X	CA39	2021	1/11/2021	30011630
Hon.	Clark	Katherine M.		P	MA05	2021	3/2/2021	20018307
	Clay	Mark Daniel		C	GA14	2021	5/23/2021	10040612
Hon.	Clay	Wm. Lacy		T	MO01	2021	4/2/2021	8217923
Hon.	Clay	Wm. Lacy		X	MO01	2021	4/15/2021	8217978
Ms.	Cleveland	Shenita Lache		A	TX30	2021	6/25/2021	10041071
Ms.	Cleveland	Shenita Lache		C	TX30	2021	6/25/2021	10041069
	Cole	Jahmal		C	IL01	2021	6/14/2021	10039772
	Cole	Jahmal		X	IL01	2021	5/18/2021	30014909
Hon.	Collins	Doug		T	GA09	2021	3/1/2021	10039511
	Collins	Michael A.	Jr	X	GA10	2021	6/15/2021	30014957
	Colombo	Malcolm Thomas		C	MD03	2021	5/13/2021	10040381
	Combs	Jack Lewis	Jr.	X	VA05	2021	6/29/2021	30014971
	Compton	William Dakota		C	KY02	2021	4/21/2021	8217989
Hon.	Conaway	K. Michael		P	TX11	2021	1/22/2021	20018064
Hon.	Conaway	K. Michael		P	TX11	2021	3/25/2021	20018460
Hon.	Conaway	K. Michael		T	TX11	2021	4/30/2021	10039451
Hon.	Conaway	K. Michael		X	TX11	2021	1/21/2021	30011634
	Conerly	Chad		C	LA05	2021	2/16/2021	10039543
	Conner	Lateefah B.		A	GA14	2021	5/19/2021	10040561
	Conner	Lateefah B.		C	GA14	2021	5/15/2021	10040473
Hon.	Connolly	Gerald E.		P	VA11	2021	1/27/2021	20018084
Hon.	Connolly	Gerald E.		P	VA11	2021	5/5/2021	20018689
	Cota	Jackie S.		D	CA15	2021	5/11/2021	40003178
Mr.	Cowen	Martin Lindsey Mr	III	D	GA13	2021	5/5/2021	40003173
Mr.	Cox	Terrence John (Tj)		X	CA21	2021	1/26/2021	30011638
Mr.	Cox	TJ John (Tj)		T	CA21	2021	5/4/2021	10039471
	Craft	Frank S.		D	FL13	2021	4/30/2021	40003170
	Crain	Mark Brewer		D	TN09	2021	3/11/2021	40003136
Hon.	Crenshaw	Daniel		P	TX02	2021	3/24/2021	20018373
	Culp	Loren		C	WA04	2021	5/14/2021	10040125
Hon.	Cunningham	Joe		T	SC01	2021	2/21/2021	10039501
Hon.	Cunningham	Joe		X	SC01	2021	2/2/2021	30011643
Hon.	Curtis	John		P	UT03	2021	2/4/2021	20018140
Hon.	Curtis	John		P	UT03	2021	7/6/2021	20019020
Mr.	D'Agostino	Nicholas A.		D	NJ05	2021	4/20/2021	40003159
	Dalsimer	Ally		C	VA11	2021	5/12/2021	10040363
	D'Arrigo	Melanie		C	NY03	2021	6/27/2021	10041094
Hon.	Davidson	Warren		P	OH08	2021	3/25/2021	20017743
	Davis	Morris D Col		C	NC11	2021	3/25/2021	10039666
Hon.	Davis	Susan A.		T	CA53	2021	1/26/2021	10039440
	Daza-Fernandez	Antonio Miguel		C	GA11	2021	5/15/2021	10040361
	De La Cruz Hernandez	Monica		X	TX15	2021	5/18/2021	30014906
	Dean	Katie		C	NC11	2021	5/11/2021	10040303
	DeHart	Vaughan "Brandon" Brendan		D	AZ04	2021	5/12/2021	40003179
Hon.	DelBene	Suzan K.		P	WA01	2021	1/13/2021	20017962
Hon.	DelBene	Suzan K.		P	WA01	2021	2/16/2021	20018128
Hon.	DelBene	Suzan K.		P	WA01	2021	3/17/2021	20018303
Hon.	DelBene	Suzan K.		P	WA01	2021	4/13/2021	20018499
Hon.	DelBene	Suzan K.		P	WA01	2021	5/14/2021	20018681
Hon.	DelBene	Suzan K.		P	WA01	2021	6/12/2021	20018838
	Dennison	Jeremy Todd		C	MO08	2021	5/2/2021	10040133
	Depaolis	Giuliano Giovanni		D	CA27	2021	5/11/2021	8218024
	Diamond	Ben		X	FL13	2021	6/15/2021	30014952
Hon.	Diaz-Balart	Mario		P	FL25	2021	5/18/2021	20018764
	Diemer	Matthew		C	OH16	2021	5/10/2021	10039775
Hon.	Dingell	Debbie		P	MI12	2021	1/13/2021	20017983
Hon.	Dingell	Debbie		P	MI12	2021	2/1/2021	20018112
Hon.	Dingell	Debbie		P	MI12	2021	3/10/2021	20018361
Hon.	Dingell	Debbie		P	MI12	2021	3/25/2021	20018459
Hon.	Dingell	Debbie		P	MI12	2021	4/1/2021	20018488
Hon.	Dingell	Debbie		P	MI12	2021	5/3/2021	20018643
Hon.	Dingell	Debbie		P	MI12	2021	6/15/2021	20018918
Hon.	Dingell	Debbie		P	MI12	2021	6/29/2021	20018962
	Disanto	Delina		C	AZ04	2021	3/30/2021	10039687
Hon.	Doggett	Lloyd		P	TX35	2021	1/6/2021	20017977
Hon.	Doggett	Lloyd		P	TX35	2021	3/8/2021	20018349
Hon.	Doggett	Lloyd		P	TX35	2021	4/7/2021	20018533
Hon.	Doggett	Lloyd		P	TX35	2021	5/6/2021	20018695
Hon.	Doggett	Lloyd		P	TX35	2021	6/30/2021	20019003
Hon.	Doggett	Lloyd		P	TX35	2021	7/6/2021	20019031
	Donovan	Kerry		X	CO03	2021	5/18/2021	30014907
	Donovan	Kerry		X	CO03	2021	6/15/2021	30014958
Mr.	Dorilas	Rod		X	FL21	2021	6/2/2021	8218065
	Dowell	Jeremy J.		D	CO05	2021	5/17/2021	40003199
	Dubose	Bobby B.		C	FL20	2021	5/20/2021	8218044
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2021	1/15/2021	20018007
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2021	3/24/2021	20018369
Mr.	Dunn	Tom W		C	SC07	2021	5/4/2021	10040177
	Earls	Harold		X	GA06	2021	5/11/2021	30014897
	Edmonds	Ruth		C	OH15	2021	6/8/2021	10040809
	Egan	Michael C.		C	TX06	2021	4/2/2021	10039706
	Ehr	Phillip Charles		A	FL01	2021	5/14/2021	10040417
	Ehr	Phillip Charles		C	FL01	2021	5/14/2021	10039731
	Eldon	Anthony W.		D	FL14	2021	1/28/2021	8217827
	Ellis	Jameson		D	TX08	2021	6/21/2021	40003216
	Ellzey	John Kevin	Sr	A	TX06	2021	6/24/2021	10041054
	Ellzey	John Kevin	Sr	C	TX06	2021	4/2/2021	10039702
	Engel	Kirsten		C	AZ02	2021	6/3/2021	10040472
	Engel	Kirsten		X	AZ02	2021	6/1/2021	30014926
	Evans	Charles		C	NC08	2021	6/29/2021	10040672
Hon.	Evans	Dwight		P	PA03	2021	2/9/2021	20018181
Mr.	Evans	Shannon Scott		D	AK00	2021	5/18/2021	40003200
	Ezell	Walter Michael		C	MS04	2021	6/24/2021	10040967
Hon.	Fallon	Patrick		P	TX04	2021	6/17/2021	20018760
Hon.	Fallon	Patrick		P	TX04	2021	7/2/2021	20018998
	Faust	Kyle Alexander		D	CO07	2021	5/20/2021	8218051
Dr.	Feig	Anthony Dean		C	MI04	2021	5/7/2021	10040248
Dr.	Feit	Keith		D	FL21	2021	4/28/2021	8218005
Dr.	Feit	Keith		X	FL21	2021	6/2/2021	8218066
	Fernandez	Francisco		W	NM01	2021	5/5/2021	7811
Hon.	Finkenauer	Abby		T	IA01	2021	1/29/2021	10039472
	Fix	Jeffrey M.		W	OH15	2021	6/1/2021	7816
	Flannery	Bryan		W	OH11	2021	5/17/2021	7813
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	3/3/2021	8217884
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	5/12/2021	8218027
Hon.	Flores	Bill		T	TX17	2021	5/4/2021	8218009
Hon.	Flores	Bill		X	TX17	2021	4/15/2021	8217979
	Flowers	Marcus		C	GA14	2021	5/10/2021	10040293
Hon.	Foxx	Virginia		P	NC05	2021	1/8/2021	20017967
Hon.	Foxx	Virginia		P	NC05	2021	2/1/2021	20018115
Hon.	Foxx	Virginia		P	NC05	2021	3/3/2021	20018306
Hon.	Foxx	Virginia		P	NC05	2021	4/7/2021	20018512
Hon.	Foxx	Virginia		P	NC05	2021	5/5/2021	20018670
Hon.	Foxx	Virginia		P	NC05	2021	6/3/2021	20018805
Hon.	Foxx	Virginia		P	NC05	2021	7/2/2021	20019013
	France	Mike		C	CT02	2021	4/30/2021	10040118
Hon.	Frankel	Lois		P	FL21	2021	1/21/2021	20018050
Hon.	Frankel	Lois		P	FL21	2021	2/25/2021	20018224
Hon.	Frankel	Lois		P	FL21	2021	3/26/2021	20018420
Hon.	Frankel	Lois		P	FL21	2021	4/23/2021	20018606
Hon.	Frankel	Lois		P	FL21	2021	5/25/2021	20018768
Hon.	Frankel	Lois		P	FL21	2021	6/30/2021	20018944
Hon.	Franklin	Scott		P	FL15	2021	5/20/2021	8218040
Hon.	Franklin	Scott		P	FL15	2021	6/1/2021	20018831
Hon.	Franklin	Scott		P	FL15	2021	6/8/2021	8218078
Hon.	Franklin	Scott		P	FL15	2021	6/15/2021	8218110
Hon.	Franklin	Scott		P	FL15	2021	6/15/2021	8218111
Mr.	Franklin	Scott		P	FL15	2021	3/26/2021	20018466
	Franzese	Daniel John		C	FL21	2021	6/18/2021	10040774
	Franzese	Daniel John		X	FL21	2021	6/22/2021	30014960
Mr.	French	Michael Alexander		C	TX21	2021	6/15/2021	10040947
	Friese	Randall S.		C	AZ02	2021	5/12/2021	10040254
Hon.	Fudge	Marcia L.		E	OH11	2021	3/30/2021	8217913
Hon.	Gabbard	Tulsi		T	HI02	2021	5/3/2021	10039497
Hon.	Gabbard	Tulsi		X	HI02	2021	2/3/2021	30011645
Hon.	Gallagher	Michael John		P	WI08	2021	4/6/2021	20018529
	Galluch	David		X	PA05	2021	6/1/2021	30014929
Hon.	Garbarino	Andrew		P	NY02	2021	5/24/2021	20018802
Mrs.	Garcia	Alia D.		C	TX23	2021	5/17/2021	10040511
Hon.	Garcia	Michael		P	CA25	2021	5/3/2021	20018671
Mr.	Garza	Mauro Everett Mr		C	TX21	2021	5/6/2021	10040242
	Gearing	Charles M.		X	TX05	2021	6/1/2021	30014924
Hon.	Gianforte	Greg		T	MT00	2021	5/13/2021	8218033
Hon.	Gibbs	Bob		P	OH07	2021	2/18/2021	20018238
Hon.	Gibbs	Bob		P	OH07	2021	4/9/2021	20018545
Hon.	Gibbs	Bob		P	OH07	2021	5/28/2021	20018821
	Godfrey	Aaron Paul		C	OH16	2021	5/12/2021	10040376
	Goenaga-Torres	Santiago David		D	CO05	2021	3/26/2021	8217916
Hon.	Gonzalez	Anthony E.		P	OH16	2021	2/12/2021	20018126
Hon.	Gonzalez	Anthony E.		P	OH16	2021	4/2/2021	20018383
Hon.	Gonzalez	Anthony E.		P	OH16	2021	4/23/2021	20018548
	Gore	Laverne		C	OH11	2021	5/7/2021	10040267
Hon.	Gottheimer	Josh		P	NJ05	2021	1/7/2021	20017973
Hon.	Gottheimer	Josh		P	NJ05	2021	2/9/2021	20018160
Hon.	Gottheimer	Josh		P	NJ05	2021	3/10/2021	20018333
Hon.	Gottheimer	Josh		P	NJ05	2021	4/21/2021	20018534
Hon.	Gottheimer	Josh		P	NJ05	2021	5/7/2021	20018699
Hon.	Gottheimer	Josh		P	NJ05	2021	6/15/2021	20018854
Hon.	Graves	Garret		P	LA06	2021	1/28/2021	20018091
Hon.	Graves	Garret		P	LA06	2021	2/22/2021	20018259
Hon.	Graves	Garret		P	LA06	2021	4/15/2021	20018587
	Gray	Charles		X	WY00	2021	4/7/2021	30011653
Dr.	Grayson	Dena MD, PhD MD, PhD		X	FL09	2021	5/18/2021	30014910
Hon.	Green	Mark Dr		P	TN07	2021	1/11/2021	20017867
Hon.	Green	Mark Dr		P	TN07	2021	3/5/2021	20018065
Hon.	Green	Mark Dr		P	TN07	2021	3/20/2021	20018359
Hon.	Green	Mark Dr		P	TN07	2021	3/28/2021	20018471
Hon.	Green	Mark Dr		P	TN07	2021	4/15/2021	20018526
Hon.	Green	Mark Dr		P	TN07	2021	4/15/2021	20018586
Hon.	Green	Mark Dr		P	TN07	2021	4/28/2021	20018602
Hon.	Green	Mark Dr		P	TN07	2021	5/10/2021	20018709
Hon.	Green	Mark Dr		P	TN07	2021	5/17/2021	20018758
Hon.	Green	Mark Dr		P	TN07	2021	6/7/2021	20018798
Hon.	Green	Mark Dr		P	TN07	2021	6/17/2021	20018933
Hon.	Greene	Marjorie Taylor		P	GA14	2021	5/12/2021	20018727
Hon.	Greene	Marjorie Taylor		P	GA14	2021	6/11/2021	20018905
Hon.	Greene	Marjorie Taylor		P	GA14	2021	6/17/2021	20018935
Hon.	Greene	Marjorie Taylor		P	GA14	2021	6/21/2021	20018953
Mrs.	Greene	Marjorie Taylor		P	GA14	2021	2/19/2021	20018243
Hon.	Hall	Kwanza		T	GA05	2021	2/1/2021	10039492
Hon.	Hall	Kwanza		X	GA05	2021	2/1/2021	30011640
	Harden	R. David		C	MD01	2021	5/18/2021	10040490
	Harrison	Brian E.		C	TX06	2021	4/1/2021	10039665
	Hawk	Danielle Nicole		A	FL03	2021	5/20/2021	8218046
	Hawk	Danielle Nicole		C	FL03	2021	5/20/2021	8218045
	Hawk	Danielle Nicole		D	FL03	2021	5/26/2021	8218063
Hon.	Heck	Denny		T	WA10	2021	1/28/2021	10039420
Hon.	Hern	Kevin		P	OK01	2021	1/15/2021	20018029
Hon.	Hern	Kevin		P	OK01	2021	2/17/2021	20018232
Hon.	Hern	Kevin		P	OK01	2021	3/15/2021	20018400
Hon.	Hern	Kevin		P	OK01	2021	4/9/2021	20018550
Hon.	Hern	Kevin		P	OK01	2021	5/17/2021	20018757
Hon.	Hern	Kevin		P	OK01	2021	6/15/2021	20018919
Mr.	Herring	Wade Wilkes	II	C	GA01	2021	6/14/2021	10040927
Hon.	Hill	James French		P	AR02	2021	4/27/2021	20018570
	Hines	Robert Nicholas		C	NC05	2021	6/25/2021	10040506
	Hinson Arenholz	Ashley		P	IA01	2021	4/5/2021	20018521
	Hodge	Jevin D.		X	AZ06	2021	6/17/2021	30014937
Hon.	Holding	George		T	NC02	2021	6/29/2021	10040989
Hon.	Hollingsworth	Trey		P	IN09	2021	2/4/2021	8217840
Hon.	Hollingsworth	Trey		P	IN09	2021	3/17/2021	8217902
Hon.	Hollingsworth	Trey		P	IN09	2021	4/14/2021	8217934
Hon.	Hollingsworth	Trey		P	IN09	2021	5/12/2021	8218030
Hon.	Hollingsworth	Trey		P	IN09	2021	6/15/2021	8218112
	Holloway	Tammy Allison		C	TX06	2021	4/1/2021	10039704
	Holness	Dale VC		X	FL20	2021	5/18/2021	30014908
	Hood	Ronald E.		C	OH15	2021	6/30/2021	10040896
	Hood	Ronald E.		X	OH15	2021	6/22/2021	30014961
Hon.	Horn	Kendra		T	OK05	2021	2/1/2021	10039475
	Hotchkiss	Christian David		D	FL13	2021	6/8/2021	40003215
	Hrezi	Muad		C	CT01	2021	5/18/2021	10040275
	Hudson	Jesse Graham		D	MS04	2021	3/25/2021	8217917
Hon.	Huizenga	Bill		P	MI02	2021	3/19/2021	8217905
	Hullihan	Jonathan Keith		X	TX08	2021	6/2/2021	8218067
Hon.	Hurd	William		T	TX23	2021	2/9/2021	10039524
	Hwang	Thomas		C	OH15	2021	7/3/2021	10040741
	Hwang	Thomas		X	OH15	2021	6/15/2021	30014949
	Imer	Laurel Anne		D	CO07	2021	5/17/2021	40003196
Hon.	Jacobs	Christopher L.		P	NY27	2021	2/10/2021	20018037
Hon.	Jacobs	Christopher L.		P	NY27	2021	2/17/2021	20018205
Hon.	Jacobs	Christopher L.		P	NY27	2021	6/1/2021	20018738
Mr.	Jacobs	Matthew		X	CA26	2021	5/11/2021	30014891
	Jacobs	Sara		P	CA53	2021	3/12/2021	20018354
Hon.	Jacobs	Sara		P	CA53	2021	5/28/2021	20018720
Hon.	Jacobs	Sara		P	CA53	2021	7/2/2021	20018865
	Jarchow	Ryan		D	TX08	2021	5/13/2021	40003185
	Jedeikin	Mathew Ray		D	CA06	2021	4/21/2021	8217987
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/10/2021	20018554
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/10/2021	20018555
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/16/2021	20018596
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/25/2021	20018630
Hon.	Jeffries	Hakeem S.		P	NY08	2021	5/30/2021	20018793
Mr.	Johnson	Alden Patrick		C	MS04	2021	5/3/2021	10039691
Mr.	Johnson	Alden Patrick		D	MS04	2021	4/9/2021	8217940
	Johnson	Elizabeth (Liz)		C	GA12	2021	5/5/2021	10040215
	Johnson	Travis E.		D	MN07	2021	5/13/2021	40003186
	Joy	Elizabeth L.		A	NY20	2021	5/6/2021	10040246
	Joy	Elizabeth L.		C	NY20	2021	5/4/2021	10040134
Mr.	Kail	Evan Berman		C	MN04	2021	6/2/2021	8218073
	Kaur	Navjot Pal		C	NY03	2021	5/30/2021	10040710
Hon.	Keating	William R.		P	MA09	2021	4/27/2021	20018465
Hon.	Keating	William R.		P	MA09	2021	6/15/2021	20018875
Mr.	Keller	Bryan Eugene		C	WY00	2021	3/1/2021	10039567
	Kelley	Brenden P.		X	OH14	2021	5/11/2021	30014895
	Kelly	Jacquelyn Odessa		C	TN05	2021	5/14/2021	10039779
Hon.	Kelly	Mike		P	PA16	2021	1/25/2021	8217820
Hon.	Kelly	Mike		P	PA16	2021	2/23/2021	8217868
Hon.	Kelly	Mike		P	PA16	2021	4/15/2021	8217939
Hon.	Kennedy	Joseph P.	III	T	MA04	2021	4/29/2021	8218000
Hon.	Kennedy	Joseph P.	III	X	MA04	2021	4/15/2021	8217980
	Kennedy	Robert James	III	C	PA06	2021	7/1/2021	10041060
Hon.	Khanna	Rohit		P	CA17	2021	2/16/2021	8217856
Hon.	Khanna	Rohit		P	CA17	2021	3/12/2021	8217894
Hon.	Khanna	Rohit		P	CA17	2021	4/16/2021	8217938
Hon.	Khanna	Rohit		P	CA17	2021	5/14/2021	8218031
Hon.	Khanna	Rohit		P	CA17	2021	6/10/2021	8218109
	Kiggans	Jennifer		X	VA02	2021	6/1/2021	30014916
Mr.	Kilgore	Daniel McArthur		C	OH15	2021	5/5/2021	8218014
Hon.	King	Peter T.		T	NY02	2021	2/4/2021	8217837
Hon.	King	Peter T.		T	NY02	2021	6/2/2021	8218076
Hon.	King	Steve		T	IA04	2021	2/3/2021	10039510
Hon.	King	Steve		X	IA04	2021	2/3/2021	30011644
Mr.	Kinsey	Craig Robert		C	NC04	2021	6/20/2021	10040890
	Kistner	Tyler		C	MN02	2021	5/17/2021	10040501
	Klippert	Bradley		C	WA04	2021	5/17/2021	10040519
	Koprowski	Gene		W	IL16	2021	2/16/2021	7807
	Kovic	Robert D.		C	NJ11	2021	5/15/2021	10040478
	Kreiselmaier	Elizabeth		C	WA06	2021	5/14/2021	10040410
	Kumar	Neil		C	AR03	2021	4/29/2021	10040085
	Kumar	Neil		D	AR03	2021	5/11/2021	8218025
	Kunze	Stephanie L.		C	OH15	2021	5/26/2021	10040682
Hon.	Kustoff	David		P	TN08	2021	2/26/2021	8217876
Hon.	Kustoff	David		P	TN08	2021	6/22/2021	8218126
Hon.	Lamborn	Doug		P	CO05	2021	2/8/2021	8217846
Hon.	Lamborn	Doug		P	CO05	2021	3/19/2021	8217906
Hon.	Lamborn	Doug		P	CO05	2021	5/13/2021	8218028
Hon.	Lamborn	Doug		P	CO05	2021	6/28/2021	8218132
Hon.	Langevin	James R.		P	RI02	2021	1/8/2021	20017921
Hon.	Langevin	James R.		P	RI02	2021	2/17/2021	20018127
Hon.	Langevin	James R.		P	RI02	2021	3/10/2021	20018308
Hon.	Langevin	James R.		P	RI02	2021	4/9/2021	20018522
Hon.	Langevin	James R.		P	RI02	2021	5/13/2021	20018638
Hon.	Langevin	James R.		P	RI02	2021	6/10/2021	20018852
	Lare	Jeff		C	OH15	2021	7/2/2021	10040726
Mr.	Larkin	Matt		X	WA08	2021	6/22/2021	30014964
	Lassiter	Shawn		C	TX06	2021	4/1/2021	10039699
	Lauf	Catalina		X	IL16	2021	6/1/2021	30014927
	Lauser	Lucy Esther Joan		D	WA03	2021	5/6/2021	8218017
Dr.	Lazor	Lawrence Zidovsky		A	CT01	2021	5/30/2021	10040717
